Time (UNIX),Acc_x (1/64g),Acc_y (1/64g),Acc_z (1/64g),Left_Speed,Right_Speed,Comments
,,,,,,
1639348659,19,59,-7,46,39,
,,,,,,
1639348659,26,58,-5,45,36,
,,,,,,
1639348659,35,49,0,38,28,
,,,,,,
1639348659,38,51,4,40,28,
,,,,,,
1639348659,42,45,6,35,24,
,,,,,,
1639348660,45,41,9,34,22,
,,,,,,
1639348660,47,40,8,34,22,
,,,,,,
1639348660,50,39,13,35,21,
,,,,,,
1639348660,48,32,19,31,19,
,,,,,,
1639348660,48,33,20,32,20,
,,,,,,
1639348660,48,34,22,32,20,
,,,,,,
1639348660,46,34,22,31,20,
,,,,,,
1639348660,47,35,22,32,20,
,,,,,,
1639348660,47,35,21,32,20,
,,,,,,
1639348661,47,34,21,32,20,
,,,,,,
1639348661,48,36,21,33,21,
,,,,,,
1639348661,47,35,22,32,20,
,,,,,,
1639348661,46,37,22,32,20,
,,,,,,
1639348661,46,36,22,32,20,
,,,,,,
1639348661,46,36,22,32,20,
,,,,,,
1639348661,46,35,22,32,20,
,,,,,,
1639348662,46,37,23,32,20,
,,,,,,
1639348662,44,38,23,32,21,
,,,,,,
1639348662,33,45,22,35,26,
,,,,,,
1639348662,13,56,11,44,40,
,,,,,,
1639348662,11,57,11,45,41,
,,,,,,
1639348662,1,59,10,46,46,
,,,,,,
1639348662,0,58,8,45,45,
,,,,,,
1639348662,2,61,8,48,47,
,,,,,,
1639348663,0,60,6,47,47,
,,,,,,
1639348663,-1,60,4,47,47,
,,,,,,
1639348663,-3,60,3,46,47,
,,,,,,
1639348663,-6,59,2,44,46,
,,,,,,
1639348663,-19,60,3,40,47,
,,,,,,
1639348663,-31,49,4,29,38,
,,,,,,
1639348663,-41,49,4,26,38,
,,,,,,
1639348663,-40,47,6,25,37,
,,,,,,
1639348663,-43,43,7,23,34,
,,,,,,
1639348664,-43,43,6,23,34,
,,,,,,
1639348664,-46,42,5,22,34,
,,,,,,
1639348664,-50,38,6,21,34,
,,,,,,
1639348664,-48,33,6,20,32,
,,,,,,
1639348664,-48,32,2,19,31,
,,,,,,
1639348664,-51,33,9,20,33,
,,,,,,
1639348664,-49,37,7,21,34,
,,,,,,
1639348664,-48,34,9,20,32,
,,,,,,
1639348665,-32,44,7,26,34,
,,,,,,
1639348665,-6,68,-1,51,53,
,,,,,,
1639348665,-4,67,-3,50,52,
,,,,,,
1639348665,-8,60,-7,44,47,
,,,,,,
1639348665,-11,60,-5,43,47,
,,,,,,
1639348665,-10,60,-5,43,47,
,,,,,,
1639348665,-10,58,-6,42,45,
,,,,,,
1639348666,-11,59,-6,42,46,
,,,,,,
1639348666,-11,58,-7,41,45,
,,,,,,
1639348666,-11,59,-6,42,46,
,,,,,,
1639348666,-11,60,-6,43,47,
,,,,,,
1639348666,-11,58,-7,41,45,
,,,,,,
1639348666,-11,59,-6,42,46,
,,,,,,
1639348666,-11,60,-7,43,47,
,,,,,,
1639348666,-11,60,-8,43,47,
,,,,,,
1639348666,-10,60,-8,43,47,
,,,,,,
